School Id,Primary Domain,IG Followers (CD Output),Enrolled Students,# Products with 5 or more students enrolled,Custom Primary Domain,PO Business Email,Qt Admins,Has Student (All),Has Student (Currenty Active Only),Set Up,School is a High Importer,Final Category - All Students,Final Category - Currently Active Students,Final Category,Which Category
2039372.0,global-risk-solutions-learning-and-training-in.teachable.com,,1184,14,false,true,8,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
268677.0,seminare.primaveralife.com,,9265,4,true,true,7,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
355163.0,dappuniversity.teachable.com,,12150,6,false,false,14,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
543264.0,trumbull.teachable.com,,197,4,false,true,5,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
809230.0,accelerateyourparks.teachable.com,,52,2,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
830425.0,smartseller.teachable.com,,252,1,false,true,2,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
955196.0,growing-city.teachable.com,,44,5,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1019050.0,nanocellnetworks.teachable.com,,753,27,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1087570.0,comma-school.teachable.com,,131,3,false,true,3,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1205347.0,prosper-direct.teachable.com,,179,6,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1216342.0,assistive-solutions-training-platform.teachable.com,,147,10,false,true,8,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1422944.0,courses.bitcointaf.com,,83,1,true,true,9,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
1457615.0,digital-ad-trust-switzerland-academy.teachable.com,,313,3,false,true,2,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1624245.0,6558.teachable.com,,257,4,false,false,8,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
2173159.0,learning-modules.farmwisehub.org,,170,2,true,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
962670.0,unemployable.teachable.com,,2725,1,false,true,7,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
974294.0,growth-by-benthe.teachable.com,,119,11,false,true,2,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
38259.0,mozilla.teachable.com,,5919,16,false,true,23,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
